cian_id,city,street,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year
295193773,Москва,шоссе Энтузиастов,55.772208,37.834147,240625,32,1,6,Раздельный,0,Косметический,,1,2.7,9,,1,0,4,1972
295222650,Москва,Сумская улица,55.624916,37.606604,386227.54491018,33.4,4,7,Раздельный,0,Косметический,False,1,2.7,9,,1,0,2,1969
295223405,Москва,Пролетарский проспект,55.648042,37.658221,314199.395770393,33.1,11,10,Раздельный,,Косметический,False,1,2.7,22,,2,1,10,2001
295225183,Москва,Красноярская улица,55.827343,37.827751,275568.181818182,35.2,8,6,Раздельный,0,Косметический,False,1,2.7,9,,1,0,,1973
295277577,Москва,проезд Нансена,55.849236,37.651601,322448.979591837,49,15,12.5,Раздельный,0,Косметический,False,1,2.7,17,,2,2,6,1998
295285041,Москва,улица Олеко Дундича,55.737324,37.476833,328571.428571429,42,11,10,Раздельный,0,Косметический,False,1,2.7,16,,1,1,8,2006
295362568,Москва,набережная Новикова-Прибоя,55.786495,37.448734,318437.5,32,3,7,Раздельный,1,Косметический,False,1,2.7,5,Кирпичный,0,0,6,1964
295376901,Москва,улица Олеко Дундича,55.737324,37.476833,328571.428571429,42,11,0,Раздельный,1,Косметический,False,1,2.7,16,,1,1,2,2006
295432998,Москва,Косинская улица,55.727724,37.830689,253196.930946292,39.1,1,8.8,Раздельный,0,Косметический,False,1,2.7,12,,2,2,4,1982
295549957,Москва,улица Марьинский Парк,55.666071,37.783428,287179.487179487,39,2,8.6,Раздельный,0,Косметический,False,1,2.7,7,,,1,4,2003
295605592,Москва,Вешняковская улица,55.739392,37.819397,239393.939393939,33,5,7,Раздельный,,Косметический,False,1,2.7,9,,1,,4,1972
295688023,Москва,улица Авиаторов,55.63911,37.409082,222506.393861893,39.1,12,13,Раздельный,0,Косметический,False,1,2.7,12,,2,2,4,1984
295703221,Москва,Отрадная улица,55.854406,37.614608,210526.315789474,38,1,7,Раздельный,1,Косметический,False,1,2.7,9,,1,,4,1978
295805951,Москва,улица Марьинский Парк,55.666071,37.783428,287179.487179487,39,2,8.6,Раздельный,1,Косметический,False,1,2.7,7,,1,,20,2003
289979443,Москва,3-й Новоподмосковный переулок,55.819504,37.514464,365269.461077844,33.4,6,6,Совмещенный,,Евро,False,1,2.7,9,,1,,14,1973
293701905,Москва,улица Металлургов,55.759729,37.79225,294871.794871795,39,4,9,Раздельный,0,Евро,False,1,2.7,9,,2,,4,1984
276624816,Москва,3-я Рыбинская улица,55.791309,37.659784,428205.128205128,39,8,8.6,Совмещенный,,Дизайнерский,False,1,2.7,9,,2,,18,1994
287330118,Москва,улица Зорге,55.782932,37.51193,365740.740740741,54,2,10,Раздельный,0,Дизайнерский,False,1,2.7,6,,1,0,10,1956
288572754,Москва,Реутовская улица,55.738525,37.834462,285276.073619632,32.6,9,6.7,Совмещенный,,Дизайнерский,False,1,2.7,9,,1,,5,1971
291751635,Москва,Анадырский проезд,55.874152,37.698825,273006.134969325,32.6,8,7,Совмещенный,,Дизайнерский,False,1,2.7,9,,1,,6,1970
291774143,Москва,Севанская улица,55.619528,37.661644,316666.666666667,30,6,8,Совмещенный,,Дизайнерский,False,1,2.7,9,Блочный,2,,5,1970
293611714,Москва,Большая Андроньевская улица,55.742027,37.670277,368571.428571429,35,1,7.4,Совмещенный,0,Дизайнерский,False,1,2.7,12,Блочный,1,1,12,1972
294875067,Москва,улица Василисы Кожиной,55.735971,37.497171,375335.120643432,37.3,5,8,Совмещенный,,Дизайнерский,False,1,2.7,12,,2,,13,1998
295002471,Москва,Саперный проезд,55.757055,37.824616,328571.428571429,35,6,7,Совмещенный,1,Дизайнерский,False,1,2.7,9,,1,,,1979
289244520,Москва,улица Зорге,55.782932,37.51193,351703.703703704,54,2,10,Раздельный,0,Дизайнерский,False,1,2.7,6,,1,,9,1956
293040753,Москва,Бакинская улица,55.62177,37.65646,342696.629213483,35.6,3,0,Раздельный,1,Дизайнерский,False,1,2.7,16,,1,1,3,1978
293864155,Москва,Беловежская улица,55.711448,37.393209,307500,40,21,10,Раздельный,1,Дизайнерский,False,1,2.7,22,,1,1,6,2008
294368592,Москва,улица Гиляровского,55.777307,37.630858,357894.710526316,38,1,7.5,Раздельный,0,Дизайнерский,False,1,2.7,14,,1,1,6,1970
294896421,Москва,Профсоюзная улица,55.617525,37.495554,301829.268292683,32.8,2,6,Раздельный,,Дизайнерский,False,1,2.7,9,,1,,10,1972
294998510,Москва,2-й Пятигорский проезд,55.725149,37.767115,336250,40,4,9,Раздельный,1,Дизайнерский,False,1,2.7,14,,2,0,12,1990
295371145,Москва,Таллинская улица,55.799446,37.39214,372972.972972973,37,14,0,Раздельный,1,Дизайнерский,False,1,2.7,16,,1,1,8,1981
295376797,Москва,Березовая аллея,55.852243,37.610997,381679.389312977,39.3,9,8.9,Раздельный,0,Дизайнерский,,1,2.7,12,,1,1,3,1979
295703201,Москва,улица Зорге,55.78195,37.512487,346743.295019157,52.2,2,11,Раздельный,,Дизайнерский,False,1,2.7,8,Кирпичный,1,,7,1955
284197834,Москва,Саперный проезд,55.757055,37.824616,561224.489795918,14.7,1,2,Совмещенный,,Дизайнерский,True,1,2.7,9,,1,,4,1979
291485729,Москва,Туристская улица,55.845688,37.426689,229629.62962963,27,1,8,Совмещенный,0,Дизайнерский,True,1,2.7,9,,1,0,4,1975
291702882,Москва,улица Подольских Курсантов,55.606294,37.618767,330303.03030303,33,9,6,Совмещенный,0,Дизайнерский,,1,2.7,9,,1,,5,1972
292185545,Москва,Чертановская улица,55.603863,37.58641,348484.848484849,33,3,7,Совмещенный,,Дизайнерский,False,1,2.7,9,,2,,4,1971
293070523,Москва,улица Генерала Донскова,55.488198,36.91747,180167.597765363,35.8,1,9,Совмещенный,1,Дизайнерский,,1,2.7,3,,,,40,2019
293624344,Москва,улица Академика Янгеля,55.597668,37.589868,351046.698872786,31.05,2,7.1,Совмещенный,1,Дизайнерский,False,1,2.7,12,,1,1,4,1971
294027151,Москва,улица Клары Цеткин,55.821623,37.517913,376562.5,32,5,8,Совмещенный,1,Дизайнерский,False,1,2.7,9,,1,,4,1969
294297475,Москва,улица Народного Ополчения,55.779818,37.481361,375757.575757576,33,5,6,Совмещенный,0,Дизайнерский,False,1,2.7,9,,1,,5,1970
294417476,Москва,Вешняковская улица,55.739098,37.82264,287878.787878788,33,5,6.7,Совмещенный,0,Дизайнерский,False,1,2.7,9,,1,,5,1971
294516143,Москва,Химкинский бульвар,55.851965,37.44303,303030.303030303,33,9,6,Совмещенный,0,Дизайнерский,False,1,2.7,9,,1,0,1,1967
294595155,Москва,улица 26 Бакинских Комиссаров,55.661242,37.493578,403939.393939394,33,6,7,Совмещенный,0,Дизайнерский,False,1,2.7,16,,1,1,10,1972
294712479,Москва,Дубнинская улица,55.868753,37.569773,296666.666666667,33,1,6,Совмещенный,,Дизайнерский,False,1,2.7,9,,1,,3,1971
294833074,Москва,улица Паршина,55.788793,37.451339,376436.781609195,34.8,7,9,Совмещенный,0,Дизайнерский,False,1,2.7,9,,1,,6,1971
294950267,Москва,Дмитровское шоссе,55.828051,37.571965,366000,30,6,6,Совмещенный,0,Дизайнерский,False,1,2.7,9,,1,0,7,
295131022,Москва,Чертановская улица,55.602617,37.584514,267692.307692308,32.5,1,7.5,Совмещенный,0,Дизайнерский,False,1,2.7,9,,2,0,5,1971
295203918,Москва,Большая Переяславская улица,55.789345,37.639931,509036.144578313,33.2,5,7.7,Совмещенный,,Дизайнерский,False,1,2.7,9,,1,,7,1967
295224008,Москва,Студеный проезд,55.892198,37.664518,325714.285714286,35,6,7,,0,,False,1,,9,,,,6,
295241400,Москва,улица Гурьянова,55.681275,37.718238,350000,36.8,1,0,Совмещенный,0,Дизайнерский,False,1,2.7,9,,1,0,17,1974
295464318,Москва,Большая Андроньевская улица,55.742027,37.670277,438888.888888889,36,1,7.2,Совмещенный,,Дизайнерский,False,1,2.7,12,Блочный,2,,12,1972
295472591,Москва,Ореховый бульвар,55.608704,37.713674,317484.662576687,32.6,7,7,Совмещенный,,Дизайнерский,False,1,2.7,9,,1,,3,1974
295707561,Москва,улица Зои и Александра Космодемьянских,55.82177,37.512793,400000,33,2,7,Совмещенный,,Дизайнерский,False,1,2.7,9,,1,,13,1976
