,price_sq,lat,lon,area,floor,kitchen_area,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,lifts,freight_lifts,time_on_foot_to_subway,build_year,bathroom_type,house_wall_type
15549,368613.1386861314,55.803099,37.538485,54.8,9.0,0.0,1.0,Дизайнерский,False,3.0,,9.0,1.0,0.0,3.0,1964.0,,
15550,825309.4910591472,55.769428,37.598959,145.4,4.0,16.3,0.0,Дизайнерский,,4.0,,9.0,,1.0,3.0,1997.0,,
15551,331541.21863799286,55.670696,37.750891,55.8,1.0,10.0,0.0,Дизайнерский,,2.0,,14.0,1.0,1.0,11.0,2019.0,,
15552,234214.39060205585,55.882742,37.696462,68.1,4.0,0.0,1.0,Дизайнерский,False,3.0,,12.0,1.0,1.0,4.0,1976.0,,
15553,535612.5356125355,55.716899,37.496632,70.2,3.0,10.0,0.0,Дизайнерский,,3.0,,12.0,1.0,1.0,5.0,2022.0,,
15554,266757.8659370725,55.671981,37.773709,73.1,1.0,9.4,0.0,Дизайнерский,,3.0,,17.0,1.0,1.0,4.0,1999.0,,
15558,468330.13435700577,55.792265,37.787111,104.2,26.0,15.0,0.0,Евро,,3.0,,30.0,1.0,1.0,4.0,2011.0,,
15559,465108.52713178296,55.701846,37.492177,129.0,2.0,18.0,,Евро,,4.0,,11.0,,,5.0,,,
15560,453216.3742690058,55.725569,37.635287,68.4,8.0,7.3,1.0,Евро,,3.0,,9.0,1.0,1.0,8.0,1976.0,,
15563,350442.4778761062,55.680539,37.57439,56.5,9.0,10.5,0.0,Евро,,2.0,,14.0,1.0,1.0,4.0,1998.0,,
15564,499847.2972972973,55.700978,37.49347,74.0,9.0,5.0,,Евро,,3.0,,13.0,,,5.0,,,
15565,457298.4749455338,55.763954,37.509792,45.9,14.0,15.0,0.0,Евро,,1.0,,34.0,1.0,1.0,4.0,2023.0,,
15566,291595.19725557463,55.848178590484665,37.71326361838435,58.3,9.0,13.9,0.0,Евро,,2.0,,15.0,1.0,1.0,22.0,2023.0,,
15567,371352.7851458886,55.743852,37.510358,113.1,4.0,7.0,0.0,Евро,,,,42.0,1.0,1.0,5.0,2020.0,,
15568,176923.07692307694,59.827713,30.552978,39.0,1.0,17.5,1.0,Евро,,1.0,,23.0,3.0,,,,,
15569,500000.0,55.722593,37.418191,110.0,7.0,12.0,2.0,Евро,False,4.0,,8.0,2.0,1.0,5.0,2017.0,,
15570,375538.85946545145,55.753529,37.523779,81.19,5.0,28.0,0.0,Евро,,2.0,,51.0,1.0,1.0,3.0,2019.0,,
15571,283042.32804232807,55.551023,37.552067,37.8,14.0,8.3,1.0,Евро,,1.0,,14.0,1.0,1.0,5.0,1994.0,,
15572,339805.82524271845,55.660511,37.51132,72.1,2.0,9.4,0.0,Евро,,3.0,,21.0,1.0,,4.0,2007.0,,
15573,499405.45778834727,55.776922,37.646911,84.1,6.0,15.0,0.0,Евро,,3.0,,22.0,1.0,1.0,9.0,2022.0,,
15574,360655.737704918,55.758266,37.400432,122.0,4.0,15.0,0.0,Евро,,4.0,,14.0,1.0,1.0,7.0,1987.0,,
15591,287917.7377892031,55.745407,37.785638,38.9,3.0,8.6,0.0,Косметический,False,1.0,,12.0,2.0,0.0,4.0,1992.0,,
15592,229276.89594356265,59.919468,30.305645,170.1,5.0,22.8,0.0,Косметический,False,4.0,,6.0,1.0,0.0,14.0,1914.0,,
15598,272941.17647058825,55.755621,37.71875,42.5,2.0,6.0,0.0,Косметический,False,2.0,,5.0,,,8.0,1961.0,,
15603,228216.2408759124,59.8612555611585,30.1560895390617,43.84,10.0,14.6,,Евро,False,1.0,,20.0,,,9.0,2023.0,,
15604,231280.3889789303,59.8612555611585,30.1560895390617,43.19,18.0,0.0,,Евро,False,1.0,,20.0,,,9.0,2023.0,,
15605,355663.430420712,59.90264079714706,30.34592204103043,30.9,5.0,11.0,,Евро,False,1.0,,14.0,,6.0,6.0,2026.0,,
15606,243152.33061028356,59.8627854804032,30.1541101809927,41.62,2.0,16.2,,Евро,False,1.0,,20.0,,,9.0,2023.0,,
15607,271821.6,60.0605205521894,30.3312110978692,57.5,4.0,18.7,,Евро,False,2.0,,16.0,,,5.0,2026.0,,
15608,245529.19708029195,59.8627854804032,30.1541101809927,43.84,3.0,14.6,,Евро,False,1.0,,20.0,,,9.0,2023.0,,
15609,271821.6,60.0605205521894,30.3312110978692,57.5,5.0,18.7,,Евро,False,2.0,,16.0,,,5.0,2026.0,,
15610,235904.41621294612,59.8627854804032,30.1541101809927,33.06,2.0,14.0,,Евро,False,1.0,,20.0,,,9.0,2023.0,,
15625,295608.1081081081,55.658891,37.519521,59.2,20.0,10.1,0.0,Дизайнерский,False,2.0,,22.0,2.0,1.0,16.0,1999.0,,
15631,185792.34972677595,60.034416,30.384778,36.6,7.0,11.5,1.0,Косметический,False,1.0,,10.0,1.0,0.0,6.0,1973.0,,
15635,263017.0598006644,59.9906867711958,30.3261042013736,60.2,12.0,12.6,,Евро,False,2.0,,13.0,,,2.0,2021.0,,
15636,167741.93548387097,55.747363,37.594486,155.0,1.0,31.0,,Косметический,True,1.0,,8.0,1.0,,4.0,1934.0,,
15643,933997.5093399752,55.761644,37.550567,80.3,4.0,14.8,0.0,Евро,False,2.0,,17.0,1.0,1.0,4.0,2017.0,,
15647,239520.95808383237,59.847309,30.407909,83.5,8.0,14.0,1.0,Без ремонта,False,3.0,,17.0,,,6.0,2006.0,,
15649,203125.0,60.031,30.238577,48.0,3.0,16.5,1.0,Евро,False,1.0,,25.0,2.0,2.0,6.0,2009.0,,
15650,236363.63636363635,55.806155,49.22421,19.8,13.0,0.0,,Евро,False,,,17.0,1.0,1.0,,2025.0,,
15655,664285.7142857143,55.738733,37.658913,14.0,1.0,0.0,0.0,Косметический,True,1.0,,4.0,,,4.0,,,
15663,326760.5633802817,55.812332,37.402201,35.5,1.0,9.1,0.0,Косметический,,1.0,,16.0,1.0,1.0,7.0,1979.0,,
15673,210387.8866396761,55.8105400631182,49.0746052129333,61.75,7.0,0.0,,Евро,False,2.0,,18.0,,,2.0,2025.0,,
15674,545000.0,55.79153078518826,37.47701146159,41.5,13.0,14.2,,Евро,False,1.0,,19.0,1.0,1.0,3.0,2024.0,,
15678,556000.0,55.79153683020972,37.47809775624295,38.6,11.0,13.8,,Дизайнерский,False,1.0,,24.0,1.0,1.0,3.0,2024.0,,
15681,564000.0,55.79153683020972,37.47809775624295,38.5,20.0,13.8,,Дизайнерский,False,1.0,,24.0,1.0,1.0,3.0,2024.0,,
15682,274805.44747081713,59.844985,30.398756,102.8,7.0,35.0,1.0,Косметический,,3.0,,26.0,1.0,2.0,10.0,2009.0,,
15683,308676.4705882353,55.663375,37.512568,68.0,9.0,9.0,0.0,Дизайнерский,False,2.0,,25.0,2.0,1.0,4.0,1977.0,,
15684,191675.0678733032,60.05579840620606,30.274117094605312,44.2,11.0,17.9,1.0,Дизайнерский,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15685,202350.09392611144,60.05579840620606,30.274117094605312,63.88,19.0,17.6,1.0,Косметический,False,2.0,,25.0,2.0,1.0,5.0,2024.0,,
